"","date","total_cases","new_cases","total_deaths","new_deaths","reproduction_rate","people_vaccinated","population"
"1",2020-01-01,0,0,0,0,NA,0,173014444
"2",2020-01-02,0,0,0,0,NA,0,173014444
"3",2020-01-03,0,0,0,0,NA,0,173014444
"4",2020-01-04,0,0,0,0,NA,0,244711468
"5",2020-01-05,0,0,0,0,NA,0,244711468
"6",2020-01-06,0,0,0,0,NA,0,247888186
"7",2020-01-07,0,0,0,0,NA,0,244711468
"8",2020-01-08,0,0,0,0,NA,0,244711468
"9",2020-01-09,0,0,0,0,NA,0,244711468
"10",2020-01-10,0,0,0,0,NA,0,244711468
"11",2020-01-11,0,0,0,0,NA,0,244711468
"12",2020-01-12,0,0,0,0,NA,0,244711468
"13",2020-01-13,0,0,0,0,NA,0,244711468
"14",2020-01-14,0,0,0,0,NA,0,244711468
"15",2020-01-15,0,0,0,0,NA,0,244711468
"16",2020-01-16,0,0,0,0,NA,0,268604864
"17",2020-01-17,0,0,0,0,NA,0,268604864
"18",2020-01-18,0,0,0,0,NA,0,271781582
"19",2020-01-19,0,0,0,0,NA,0,268604864
"20",2020-01-20,0,0,0,0,NA,0,268604864
"21",2020-01-21,0,0,0,0,NA,0,268604864
"22",2020-01-22,557,0,17,0,NA,0,2209244764
"23",2020-01-23,657,100,18,1,3.07,0,2359011833
"24",2020-01-24,944,287,26,8,3.29,0,2460763049
"25",2020-01-25,1437,493,42,16,3.5,0,2491310635
"26",2020-01-26,2120,683,56,14,3.59,0,2517488045
"27",2020-01-27,2929,809,82,26,3.65,0,2639457886
"28",2020-01-28,5580,2651,131,49,3.66,0,2639457886
"29",2020-01-29,6169,589,133,2,3.29,0,2654439769
"30",2020-01-30,8237,2068,172,39,3.05,0,4255610602
"31",2020-01-31,9927,1690,214,42,2.82,0,4459361386
"32",2020-02-01,12038,2111,260,46,2.68,0,4517469367
"33",2020-02-02,16787,4749,364,104,2.59,0,4525471469
"34",2020-02-03,19887,3100,428,64,2.35,0,4528251941
"35",2020-02-04,23899,4012,494,66,2.1,0,4539907864
"36",2020-02-05,27644,3745,566,72,1.97,0,4541233928
"37",2020-02-06,30806,3162,636,70,1.73,0,4541233928
"38",2020-02-07,34339,3533,721,85,1.61,0,4638585788
"39",2020-02-08,37070,2731,808,87,1.49,0,4638585788
"40",2020-02-09,40098,3028,908,100,1.41,0,4638585788
"41",2020-02-10,42636,2538,1015,107,1.4,0,4638585788
"42",2020-02-11,44679,2043,1115,100,1.41,0,4638585788
"43",2020-02-12,45057,378,1120,5,1.57,0,4646518367
"44",2020-02-13,60209,15152,1373,253,1.8,0,4638585788
"45",2020-02-14,66694,6485,1525,152,1.52,0,4749575884
"46",2020-02-15,68770,2076,1668,143,1.2,0,4749575884
"47",2020-02-16,70883,2113,1772,104,0.95,0,4749575884
"48",2020-02-17,72819,1936,1870,98,0.78,0,4767419798
"49",2020-02-18,74613,1794,2010,140,0.63,0,4767419798
"50",2020-02-19,75034,421,2125,115,0.54,0,4855970366
"51",2020-02-20,75582,548,2248,123,0.42,0,4865419366
"52",2020-02-21,76212,630,2252,4,3.04,0,4870909110
"53",2020-02-22,77974,1762,2460,208,1.28,0,4870909110
"54",2020-02-23,78299,325,2470,10,1.16,0,4890512846
"55",2020-02-24,78867,568,2630,160,2.275,0,4987102766
"56",2020-02-25,79721,854,2710,80,2.125,0,5292383625
"57",2020-02-26,80679,959,2770,60,2.08,0,5555885233
"58",2020-02-27,82023,1344,2813,43,3.1,0,5573449253
"59",2020-02-28,83447,1424,2870,57,2.82,0,5824400069
"60",2020-02-29,85318,1871,2940,70,2.53,0,5834039143
"61",2020-03-01,87697,2379,2994,54,2.35,0,5899540303
"62",2020-03-02,89677,1980,3084,90,2.455,0,6211530314
"63",2020-03-03,92288,2611,3158,74,2.575,0,6272485237
"64",2020-03-04,94610,2322,3254,96,2.525,0,6340484690
"65",2020-03-05,97321,2711,3349,95,2.58,0,6349501589
"66",2020-03-06,101251,3930,3463,114,2.58,0,6528974787
"67",2020-03-07,105382,4131,3567,104,2.505,0,6541221532
"68",2020-03-08,109236,3854,3809,242,2.47,0,6723882653
"69",2020-03-09,113559,4323,4003,194,2.47,0,6728740237
"70",2020-03-10,118345,4786,4278,275,2.395,0,6754812374
"71",2020-03-11,125821,7504,4629,351,2.3,0,6992808740
"72",2020-03-12,132577,6756,4950,321,2.22,0,7005001448
"73",2020-03-13,145771,13194,5453,503,2.3,0,7212510964
"74",2020-03-14,156659,10888,5879,426,2.265,0,7303365291
"75",2020-03-15,167892,11233,6545,666,1.98,0,7351324568
"76",2020-03-16,182459,14567,7260,715,1.995,0,7448239175
"77",2020-03-17,197633,15174,8111,851,1.995,0,7457156588
"78",2020-03-18,215187,17554,9065,954,2.01,0,7486229621
"79",2020-03-19,242274,27087,10207,1144,2,0,7520341945
"80",2020-03-20,271804,29532,11782,1575,1.96,0,7707026504
"81",2020-03-21,304231,32433,13589,1808,1.96,0,7757960133
"82",2020-03-22,338409,34178,15419,1830,1.935,0,7814594410
"83",2020-03-23,380960,42551,17515,2096,1.87,0,7818169695
"84",2020-03-24,422833,41888,19939,2424,1.755,0,7825798651
"85",2020-03-25,474313,51480,22910,2971,1.68,0,7850545510
"86",2020-03-26,535123,60810,26163,3256,1.67,0,7850545510
"87",2020-03-27,599036,63913,29801,3638,1.62,0,7904724822
"88",2020-03-28,668598,69562,33850,4049,1.575,0,7904817757
"89",2020-03-29,725101,56503,37669,3819,1.51,0,7925223075
"90",2020-03-30,790104,65003,42037,4368,1.44,0,7927853375
"91",2020-03-31,868543,78439,47205,5168,1.43,0,7949348681
"92",2020-04-01,954859,86316,53846,6641,1.38,0,7949348681
"93",2020-04-02,1037272,82414,60088,6242,1.35,0,7975445149
"94",2020-04-03,1121466,84194,66588,6500,1.32,0,7975445149
"95",2020-04-04,1181545,77156,72947,6591,1.29,0,7975498524
"96",2020-04-05,1253241,71696,78867,5920,1.265,0,7986417581
"97",2020-04-06,1327911,74670,85294,6427,1.235,0,7986644974
"98",2020-04-07,1396843,72426,93810,8516,1.2,0,7986644974
"99",2020-04-08,1478996,82153,101029,7219,1.19,0,7986644974
"100",2020-04-09,1566157,87161,109182,8153,1.18,0,7986644974
"101",2020-04-10,1652578,86421,116922,7740,1.16,0,8020341586
"102",2020-04-11,1728062,75484,123904,6982,1.125,0,8020341586
"103",2020-04-12,1846622,118581,130418,6514,1.11,0,8020341586
"104",2020-04-13,1918446,71824,136930,6512,1.13,0,8020341586
"105",2020-04-14,2003049,84603,144285,7357,1.105,0,8020341586
"106",2020-04-15,2081308,78259,153050,8765,1.115,0,8020341586
"107",2020-04-16,2175762,94454,160758,7708,1.105,0,8020341586
"108",2020-04-17,2263625,87863,169644,7591,1.075,0,8020341586
"109",2020-04-18,2341844,78220,176072,6428,1.06,0,8020341586
"110",2020-04-19,2418159,76315,182171,6099,1.055,0,8020341586
"111",2020-04-20,2494640,76481,188682,6511,1.03,0,8020341586
"112",2020-04-21,2570717,76077,195879,7197,1,0,8020341586
"113",2020-04-22,2652731,82014,203154,7275,0.995,0,8020341586
"114",2020-04-23,2735412,84390,210426,7272,0.98,0,8020341586
"115",2020-04-24,2818980,93602,217260,6835,0.985,0,8020341586
"116",2020-04-25,2902129,83149,223308,6048,0.96,0,8020341586
"117",2020-04-26,2972890,70762,228126,4818,0.95,0,8020341586
"118",2020-04-27,3043916,71026,233571,5445,0.95,0,8020341586
"119",2020-04-28,3119669,75753,240198,6627,0.93,0,8020341586
"120",2020-04-29,3196985,78771,247178,6980,0.93,0,8020341586
"121",2020-04-30,3280684,83699,253432,6254,0.93,0,8021178369
"122",2020-05-01,3369648,88964,259020,5594,0.94,0,8031131158
"123",2020-05-02,3447871,78390,265033,6013,0.95,0,8031131158
"124",2020-05-03,3521877,74022,269310,4277,0.965,0,8031131158
"125",2020-05-04,3599482,77611,274153,4843,0.98,0,8031131158
"126",2020-05-05,3679137,79655,280300,6147,1.01,0,8031131158
"127",2020-05-06,3769575,90438,287063,6763,0.975,0,8031131158
